"Itn","Losses","","File 1","File 2","File 3","File 4","File 5","Average"
"","","Precision : ","0.219435736677116","0.20893719806763286","0.15822784810126583","0.23088455772113944","0.2711864406779661","0.21773435624902407"
"0","5766.0703372685293","Recall : ","0.8433734939759037","0.6975806451612904","0.3968253968253968","0.7738693467336684","0.6901960784313725","0.6803689922255263"
"","","F1 Score : ","0.3482587064676617","0.3215613382899628","0.22624434389140272","0.35565819861431874","0.3893805309734514","0.3282206236473595"

"","","Precision : ","0.3277310924369748","0.4807692307692308","0.62","0.5636363636363636","0.6875","0.5359273373685138"
"1","5012.1968879692204","Recall : ","0.46987951807228917","0.5040322580645161","0.24603174603174602","0.31155778894472363","0.5176470588235295","0.4098296739873609"
"","","F1 Score : ","0.38613861386138615","0.4921259842519685","0.35227272727272724","0.4012944983818771","0.5906040268456376","0.44448717012271927"

"","","Precision : ","0.4765625","0.5386904761904762","0.6233766233766234","0.6325301204819277","0.7436974789915967","0.6029714398081248"
"2","4615.6013102737197","Recall : ","0.7349397590361446","0.7298387096774194","0.38095238095238093","0.5276381909547738","0.6941176470588235","0.6134973375359085"
"","","F1 Score : ","0.5781990521327014","0.6198630136986301","0.4729064039408867","0.5753424657534247","0.718052738336714","0.5928727347724714"

"","","Precision : ","0.42","0.5036674816625917","0.6385542168674698","0.6538461538461539","0.688212927756654","0.5808561560265739"
"3","4363.6307864923019","Recall : ","0.7590361445783133","0.8306451612903226","0.42063492063492064","0.5979899497487438","0.7098039215686275","0.6636220195641855"
"","","F1 Score : ","0.5407725321888411","0.6270928462709285","0.507177033492823","0.6246719160104988","0.6988416988416989","0.599711205360958"

"","","Precision : ","0.436241610738255","0.475","0.6774193548387096","0.6214285714285714","0.6270627062706271","0.5674304486552326"
"4","3912.9329586602512","Recall : ","0.7831325301204819","0.842741935483871","0.5","0.4371859296482412","0.7450980392156863","0.6616316868936561"
"","","F1 Score : ","0.5603448275862069","0.6075581395348836","0.5753424657534247","0.5132743362831858","0.6810035842293907","0.5875046706774183"

"","","Precision : ","0.19571045576407506","0.26448362720403024","0.3534136546184739","0.2647814910025707","0.3878787878787879","0.2932536032935876"
"5","3831.4603321003469","Recall : ","0.8795180722891566","0.8467741935483871","0.6984126984126984","0.5175879396984925","0.7529411764705882","0.7390468160838646"
"","","F1 Score : ","0.3201754385964912","0.4030710172744722","0.4693333333333333","0.35034013605442177","0.512","0.4109839850517437"

"","","Precision : ","0.584070796460177","0.7256317689530686","0.7532467532467533","0.7230769230769231","0.8691588785046729","0.7310370240483189"
"6","3525.0094656816823","Recall : ","0.7951807228915663","0.8104838709677419","0.4603174603174603","0.4723618090452261","0.7294117647058823","0.6535511255855754"
"","","F1 Score : ","0.673469387755102","0.7657142857142857","0.5714285714285714","0.5714285714285714","0.79317697228145","0.675043557721596"

"","","Precision : ","0.33157894736842103","0.44724770642201833","0.5641025641025641","0.6544502617801047","0.6655518394648829","0.5325862638275982"
"7","3527.9695291068861","Recall : ","0.7590361445783133","0.7862903225806451","0.5238095238095238","0.628140703517588","0.7803921568627451","0.695533770269763"
"","","F1 Score : ","0.4615384615384615","0.5701754385964912","0.5432098765432098","0.641025641025641","0.7184115523465704","0.5868721940100747"

"","","Precision : ","0.6831683168316832","0.5048780487804878","0.7468354430379747","0.7537688442211056","0.6872852233676976","0.6751871752477898"
"8","3250.5790476377751","Recall : ","0.8313253012048193","0.8346774193548387","0.46825396825396826","0.7537688442211056","0.7843137254901961","0.7344678517049855"
"","","F1 Score : ","0.75","0.6291793313069909","0.5756097560975609","0.7537688442211056","0.7326007326007326","0.688231732845278"

"","","Precision : ","0.44755244755244755","0.5301837270341208","0.5523809523809524","0.6627906976744186","0.694560669456067","0.5774936988196012"
"9","3185.6399875602128","Recall : ","0.7710843373493976","0.8145161290322581","0.4603174603174603","0.5728643216080402","0.6509803921568628","0.6539525280928038"
"","","F1 Score : ","0.5663716814159293","0.642289348171701","0.5021645021645021","0.6145552560646901","0.6720647773279352","0.5994891130289515"

"","","Precision : ","0.6605504587155964","0.7191780821917808","0.8181818181818182","0.7241379310344828","0.8170731707317073","0.747824292171077"
"10","3072.7800738540518","Recall : ","0.8674698795180723","0.8467741935483871","0.5","0.5276381909547738","0.788235294117647","0.706023511627776"
"","","F1 Score : ","0.7499999999999999","0.7777777777777778","0.6206896551724137","0.6104651162790699","0.8023952095808382","0.7122655517620199"

"","","Precision : ","0.6483516483516484","0.5255255255255256","0.7093023255813954","0.727810650887574","0.6754716981132075","0.6572923696918702"
"11","3045.993931832108","Recall : ","0.7108433734939759","0.7056451612903226","0.48412698412698413","0.6180904522613065","0.7019607843137254","0.644133351097263"
"","","F1 Score : ","0.67816091954023","0.6024096385542168","0.5754716981132076","0.6684782608695653","0.6884615384615385","0.6425964111077516"

"","","Precision : ","0.6213592233009708","0.5358166189111748","0.6888888888888889","0.7302631578947368","0.7609561752988048","0.6674568128589152"
"12","2905.5862873187839","Recall : ","0.7710843373493976","0.7540322580645161","0.49206349206349204","0.5577889447236181","0.7490196078431373","0.6647977280088322"
"","","F1 Score : ","0.6881720430107526","0.626465661641541","0.5740740740740741","0.6324786324786325","0.7549407114624506","0.6552262245334901"

"","","Precision : ","0.5072463768115942","0.25462962962962965","0.543859649122807","0.3598326359832636","0.6636085626911316","0.4658353708476852"
"13","2932.0762208514525","Recall : ","0.8433734939759037","0.8870967741935484","0.49206349206349204","0.864321608040201","0.8509803921568627","0.7875671520860016"
"","","F1 Score : ","0.6334841628959276","0.3956834532374101","0.5166666666666667","0.5081240768094535","0.7457044673539519","0.559932565392682"

"","","Precision : ","0.5338345864661654","0.3784786641929499","0.5431034482758621","0.5205479452054794","0.7251908396946565","0.5402310967670226"
"14","2873.9325455268845","Recall : ","0.8554216867469879","0.8225806451612904","0.5","0.5728643216080402","0.7450980392156863","0.699192938546401"
"","","F1 Score : ","0.6574074074074073","0.5184243964421855","0.5206611570247934","0.5454545454545455","0.7350096711798839","0.5953914355017631"

"","","Precision : ","0.4645161290322581","0.2989985693848355","0.4019138755980861","0.545774647887324","0.7046979865771812","0.483180241695937"
"15","2759.1754978299141","Recall : ","0.8674698795180723","0.842741935483871","0.6666666666666666","0.7788944723618091","0.8235294117647058","0.7958604731590249"
"","","F1 Score : ","0.6050420168067228","0.44139387539598735","0.5014925373134328","0.6418219461697723","0.7594936708860759","0.5898488093143983"

"","","Precision : ","0.7252747252747253","0.6472491909385113","0.8080808080808081","0.7153284671532847","0.8847926267281107","0.756145163635088"
"16","2622.0004633449716","Recall : ","0.7951807228915663","0.8064516129032258","0.6349206349206349","0.49246231155778897","0.7529411764705882","0.6963912917487608"
"","","F1 Score : ","0.7586206896551725","0.7181328545780968","0.7111111111111112","0.5833333333333334","0.8135593220338982","0.7169514621423225"

"","","Precision : ","0.6601941747572816","0.5494505494505495","0.7469879518072289","0.6335403726708074","0.7563636363636363","0.6693073370099007"
"17","2574.0001336720788","Recall : ","0.8192771084337349","0.8064516129032258","0.49206349206349204","0.5125628140703518","0.8156862745098039","0.6892082603961216"
"","","F1 Score : ","0.7311827956989247","0.6535947712418301","0.5933014354066986","0.5666666666666668","0.7849056603773585","0.6659302658782957"

"","","Precision : ","0.6914893617021277","0.5747126436781609","0.7471264367816092","0.6858974358974359","0.8208333333333333","0.7040118422785334"
"18","2509.4892784368431","Recall : ","0.7831325301204819","0.8064516129032258","0.5158730158730159","0.5376884422110553","0.7725490196078432","0.6831389241431245"
"","","F1 Score : ","0.7344632768361583","0.6711409395973154","0.6103286384976526","0.6028169014084507","0.7959595959595961","0.6829418704598347"

"","","Precision : ","0.7586206896551724","0.6254416961130742","0.8032786885245902","0.7559055118110236","0.810126582278481","0.7506746336764683"
"19","2609.8381832838058","Recall : ","0.7951807228915663","0.7137096774193549","0.3888888888888889","0.4824120603015075","0.7529411764705882","0.6266265051943811"
"","","F1 Score : ","0.7764705882352942","0.6666666666666666","0.5240641711229947","0.588957055214724","0.7804878048780488","0.6673292572235457"

"","","Precision : ","0.6388888888888888","0.5","0.5441176470588235","0.49107142857142855","0.7028985507246377","0.5753953030487556"
"20","2496.0","Recall : ","0.8313253012048193","0.7258064516129032","0.5873015873015873","0.5527638190954773","0.7607843137254902","0.6915962945880555"
"","","F1 Score : ","0.7225130890052355","0.5921052631578947","0.564885496183206","0.520094562647754","0.7306967984934086","0.6260590418974997"

"","","Precision : ","0.7096774193548387","0.5632530120481928","0.7317073170731707","0.6878980891719745","0.8600823045267489","0.7105236284349852"
"21","2351.983679080382","Recall : ","0.7951807228915663","0.7540322580645161","0.47619047619047616","0.542713567839196","0.8196078431372549","0.6775449736246019"
"","","F1 Score : ","0.7500000000000001","0.6448275862068965","0.576923076923077","0.6067415730337079","0.8393574297188755","0.6835699331765115"

"","","Precision : ","0.32727272727272727","0.4245472837022133","0.5191256830601093","0.4666666666666667","0.7230769230769231","0.4921378567557279"
"22","2449.9920449778438","Recall : ","0.8674698795180723","0.8508064516129032","0.753968253968254","0.5979899497487438","0.7372549019607844","0.7614978873617515"
"","","F1 Score : ","0.4752475247524752","0.5664429530201343","0.6148867313915858","0.5242290748898678","0.7300970873786408","0.5821806742865407"

"","","Precision : ","0.6126126126126126","0.5052083333333334","0.5818181818181818","0.6273291925465838","0.8393574297188755","0.6332651500059174"
"23","2324.6813601851463","Recall : ","0.8192771084337349","0.782258064516129","0.5079365079365079","0.507537688442211","0.8196078431372549","0.6873234424931676"
"","","F1 Score : ","0.7010309278350516","0.6139240506329113","0.5423728813559321","0.561111111111111","0.8293650793650794","0.6495608100600171"

"","","Precision : ","0.6601941747572816","0.5518207282913166","0.6693548387096774","0.6013071895424836","0.8007518796992481","0.6566857622000015"
"24","2259.9961531162262","Recall : ","0.8192771084337349","0.7943548387096774","0.6587301587301587","0.4623115577889447","0.8352941176470589","0.713993556261915"
"","","F1 Score : ","0.7311827956989247","0.6512396694214876","0.6639999999999999","0.5227272727272728","0.8176583493282149","0.67736161743518"

"","","Precision : ","0.5151515151515151","0.5257731958762887","0.7058823529411765","0.5","0.8185483870967742","0.613071090213151"
"25","2374.0","Recall : ","0.8192771084337349","0.8225806451612904","0.5714285714285714","0.36683417085427134","0.796078431372549","0.6752397854500833"
"","","F1 Score : ","0.6325581395348837","0.6415094339622642","0.6315789473684211","0.4231884057971015","0.8071570576540755","0.6271983968633492"

"","","Precision : ","0.7415730337078652","0.5411764705882353","0.6304347826086957","0.6526946107784432","0.8376068376068376","0.6806971470580154"
"26","2293.9941635131836","Recall : ","0.7951807228915663","0.7419354838709677","0.4603174603174603","0.5477386934673367","0.7686274509803922","0.6627599623055446"
"","","F1 Score : ","0.7674418604651162","0.6258503401360543","0.5321100917431192","0.5956284153005464","0.801635991820041","0.6645333398929754"

"","","Precision : ","0.7674418604651163","0.5752212389380531","0.6086956521739131","0.6395348837209303","0.8218623481781376","0.6825511966952301"
"27","2272.0","Recall : ","0.7951807228915663","0.7862903225806451","0.5555555555555556","0.5527638190954773","0.796078431372549","0.6971737702991586"
"","","F1 Score : ","0.7810650887573964","0.6643952299829642","0.5809128630705395","0.5929919137466306","0.8087649402390438","0.685626007159315"

"","","Precision : ","0.6947368421052632","0.5488126649076517","0.6931818181818182","0.7168674698795181","0.8448275862068966","0.6996852762562297"
"28","2298.0","Recall : ","0.7951807228915663","0.8387096774193549","0.48412698412698413","0.5979899497487438","0.7686274509803922","0.6969269570334082"
"","","F1 Score : ","0.7415730337078653","0.6634768740031898","0.5700934579439253","0.652054794520548","0.8049281314168378","0.6864252583184733"

"","","Precision : ","0.6631578947368421","0.4707259953161593","0.5299145299145299","0.5802469135802469","0.806949806949807","0.610199028099517"
"29","2226.0","Recall : ","0.7590361445783133","0.8104838709677419","0.49206349206349204","0.4723618090452261","0.8196078431372549","0.6707106319584056"
"","","F1 Score : ","0.7078651685393258","0.5955555555555555","0.5102880658436214","0.5207756232686981","0.8132295719844357","0.6295427970383273"

"","","Precision : ","0.638095238095238","0.5420054200542005","0.6209677419354839","0.6338028169014085","0.7962264150943397","0.6462195264161341"
"30","2039.8931140899658","Recall : ","0.8072289156626506","0.8064516129032258","0.6111111111111112","0.45226130653266333","0.8274509803921568","0.7009007853203615"
"","","F1 Score : ","0.7127659574468084","0.6482982171799027","0.616","0.527859237536657","0.8115384615384615","0.6632923747403658"

"","","Precision : ","0.6666666666666666","0.44110854503464203","0.5882352941176471","0.22121212121212122","0.8883720930232558","0.5611189440108666"
"31","2192.0","Recall : ","0.7951807228915663","0.7701612903225806","0.3968253968253968","0.36683417085427134","0.7490196078431373","0.6156042377473905"
"","","F1 Score : ","0.7252747252747251","0.5609397944199707","0.47393364928909953","0.275992438563327","0.8127659574468086","0.5697813129987862"

"","","Precision : ","0.7415730337078652","0.697594501718213","0.8245614035087719","0.7520661157024794","0.8986784140969163","0.7828946937468492"
"32","2240.0","Recall : ","0.7951807228915663","0.8185483870967742","0.373015873015873","0.457286432160804","0.8","0.6488062830330035"
"","","F1 Score : ","0.7674418604651162","0.7532467532467533","0.5136612021857924","0.56875","0.8464730290456431","0.6899145689886611"

"","","Precision : ","0.6504854368932039","0.6900369003690037","0.8688524590163934","0.7549019607843137","0.8436213991769548","0.7615796312479739"
"33","2064.0","Recall : ","0.8072289156626506","0.7540322580645161","0.42063492063492064","0.3869346733668342","0.803921568627451","0.6345504672712746"
"","","F1 Score : ","0.7204301075268817","0.7206165703275529","0.5668449197860963","0.5116279069767442","0.8232931726907631","0.6685625354616076"

"","","Precision : ","0.7142857142857143","0.6488294314381271","0.6413043478260869","0.6324786324786325","0.8765957446808511","0.7026987741418824"
"34","2178.0","Recall : ","0.7831325301204819","0.782258064516129","0.46825396825396826","0.37185929648241206","0.807843137254902","0.6426693993255788"
"","","F1 Score : ","0.7471264367816092","0.7093235831809872","0.5412844036697247","0.46835443037974683","0.8408163265306123","0.6613810361085359"

"","","Precision : ","0.7701149425287356","0.73828125","0.7454545454545455","0.8333333333333334","0.9285714285714286","0.8031510999776087"
"35","2124.0","Recall : ","0.8072289156626506","0.7620967741935484","0.3253968253968254","0.4020100502512563","0.7137254901960784","0.6020916111400718"
"","","F1 Score : ","0.788235294117647","0.7499999999999999","0.4530386740331491","0.5423728813559322","0.8070953436807097","0.6681484386374875"

"","","Precision : ","0.7444444444444445","0.7242647058823529","0.7464788732394366","0.7043478260869566","0.8904109589041096","0.7619893617114599"
"36","2090.0","Recall : ","0.8072289156626506","0.7943548387096774","0.42063492063492064","0.40703517587939697","0.7647058823529411","0.6387919466479173"
"","","F1 Score : ","0.7745664739884394","0.7576923076923077","0.5380710659898478","0.5159235668789809","0.8227848101265822","0.6818076449352316"

"","","Precision : ","0.4339622641509434","0.5125","0.5548387096774193","0.601063829787234","0.6538461538461539","0.5512421914923501"
"37","2048.4542562961578","Recall : ","0.8313253012048193","0.8266129032258065","0.6825396825396826","0.5678391959798995","0.8","0.7416634165900418"
"","","F1 Score : ","0.5702479338842976","0.6327160493827161","0.6120996441281138","0.5839793281653747","0.7195767195767195","0.6237239350274443"

"","","Precision : ","0.576271186440678","0.475","0.5748031496062992","0.5454545454545454","0.7578125","0.5858682763003045"
"38","2140.000000003995","Recall : ","0.8192771084337349","0.842741935483871","0.5793650793650794","0.5125628140703518","0.7607843137254902","0.7029462502157054"
"","","F1 Score : ","0.6766169154228856","0.6075581395348836","0.5770750988142292","0.5284974093264249","0.7592954990215265","0.62980861242399"

"","","Precision : ","0.6055045871559633","0.5769230769230769","0.6593406593406593","0.6729559748427673","0.8152610441767069","0.6659970684878347"
"39","2030.0","Recall : ","0.7951807228915663","0.8467741935483871","0.47619047619047616","0.5376884422110553","0.796078431372549","0.6903824532428068"
"","","F1 Score : ","0.6875000000000001","0.6862745098039215","0.5529953917050692","0.5977653631284916","0.8055555555555556","0.6660181640386076"

"","","Precision : ","0.7590361445783133","0.657439446366782","0.725","0.6935483870967742","0.8225108225108225","0.7315069601105384"
"40","2084.0","Recall : ","0.7590361445783133","0.7661290322580645","0.4603174603174603","0.4321608040201005","0.7450980392156863","0.632548296077925"
"","","F1 Score : ","0.7590361445783133","0.707635009310987","0.5631067961165048","0.5325077399380805","0.7818930041152264","0.6688357388118223"

"","","Precision : ","0.7674418604651163","0.608955223880597","0.75","0.7107438016528925","0.823045267489712","0.7320372306976635"
"41","2008.0","Recall : ","0.7951807228915663","0.8225806451612904","0.5","0.4321608040201005","0.7843137254901961","0.6668471795126305"
"","","F1 Score : ","0.7810650887573964","0.6998284734133792","0.6","0.5375","0.8032128514056225","0.6843212827152797"

"","","Precision : ","0.8051948051948052","0.6210191082802548","0.6829268292682927","0.7196969696969697","0.8502202643171806","0.7358115953515005"
"42","1884.0","Recall : ","0.7469879518072289","0.7862903225806451","0.4444444444444444","0.47738693467336685","0.7568627450980392","0.6423944797207449"
"","","F1 Score : ","0.7749999999999999","0.6939501779359429","0.5384615384615384","0.5740181268882175","0.8008298755186721","0.6764519437608741"

